SEQ,ITEM_NAME
1,STEAK
1,WINE
2,STEAK
3,SPECIAL_SET
4,SANDWICH
5,SALAD_BAR
6,STEAK
7,WINE
7,STEAK
8,STEAK
9,SPECIAL_SET
10,PIZZA
11,PIZZA
12,STEAK
12,WINE
13,STEAK
13,WINE
14,STEAK
15,SANDWICH
16,PIZZA
17,SPECIAL_SET
18,PIZZA
19,STEAK
19,WINE
20,SEA_FOOD
21,SALAD
22,WINE
22,STEAK
23,PASTA
24,PASTA
25,STEAK
25,WINE
26,WINE
26,STEAK
27,SALAD_BAR
28,SEA_FOOD
29,SPECIAL_SET
30,STEAK
31,SPECIAL_SET
32,STEAK
33,SANDWICH
34,SANDWICH
35,STEAK
36,PASTA
37,STEAK
38,WINE
38,PASTA
39,STEAK
40,STEAK
41,SPECIAL_SET
42,STEAK
43,PIZZA
44,SPECIAL_SET
45,STEAK
46,SANDWICH
47,WINE
47,PASTA
48,PASTA
49,PASTA
50,PASTA
51,SPECIAL_SET
52,STEAK
53,STEAK
54,SANDWICH
55,SPECIAL_SET
56,SEA_FOOD
57,SPECIAL_SET
58,SPECIAL_SET
59,SEA_FOOD
60,PASTA
61,STEAK
62,SALAD_BAR
63,SPECIAL_SET
64,PASTA
65,SALAD_BAR
65,STEAK
66,STEAK
67,PASTA
68,STEAK
69,STEAK
70,SPECIAL_SET
71,SALAD
72,PIZZA
73,SPECIAL_SET
74,SPECIAL_SET
75,STEAK
76,STEAK
77,SALAD
78,SPECIAL_SET
79,SANDWICH
80,WINE
80,PASTA
81,PIZZA
82,PASTA
83,SALAD_BAR
84,STEAK
85,STEAK
86,SALAD_BAR
87,SANDWICH
88,STEAK
89,PASTA
90,STEAK
91,SEA_FOOD
92,STEAK
93,SPECIAL_SET
94,PASTA
95,SPECIAL_SET
96,STEAK
97,PASTA
98,SANDWICH
99,STEAK
100,PASTA
101,STEAK
102,PASTA
103,SPECIAL_SET
104,SANDWICH
105,SALAD_BAR
106,SPECIAL_SET
106,JUICE
107,STEAK
108,SANDWICH
109,SALAD_BAR
110,PIZZA
111,STEAK
112,WINE
113,STEAK
114,SALAD_BAR
115,PASTA
116,SANDWICH
117,STEAK
118,WINE
118,STEAK
118,SPECIAL_SET
119,JUICE
120,SANDWICH
121,SALAD_BAR
122,SANDWICH
123,WINE
124,SALAD_BAR
125,JUICE
126,SALAD_BAR
127,STEAK
128,SEA_FOOD
129,SPECIAL_SET
130,SPECIAL_SET
131,SPECIAL_SET
132,SALAD
133,STEAK
134,STEAK
135,JUICE
135,PASTA
136,PASTA
137,PIZZA
138,SANDWICH
139,SPECIAL_SET
140,WINE
140,PIZZA
141,STEAK
142,PIZZA
142,PASTA
143,SALAD
144,JUICE
144,SEA_FOOD
144,PIZZA
145,PASTA
146,PASTA
147,PASTA
148,PIZZA
149,STEAK
150,SANDWICH
151,PIZZA
152,SPECIAL_SET
153,WINE
153,STEAK
154,STEAK
154,SALAD_BAR
154,WINE
155,SANDWICH
156,SPECIAL_SET
157,PASTA
158,SPECIAL_SET
159,STEAK
160,STEAK
161,PIZZA
162,SEA_FOOD
162,PASTA
163,STEAK
164,STEAK
165,SANDWICH
166,SPECIAL_SET
166,WINE
167,SEA_FOOD
168,SALAD_BAR
169,PIZZA
170,STEAK
171,WINE
